Prediksi Pasang Surut BIG 
Direktorat Sistem Referensi Geospasial 
Badan Informasi Geospasial 
Email : srgi@big.go.id 
Lat: -8.437600  Lon: 112.667364 

 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -8.4376  112.6674     2026-01-01 00:00:00     0.135
    -8.4376  112.6674     2026-01-01 01:00:00     0.072
    -8.4376  112.6674     2026-01-01 02:00:00    -0.056
    -8.4376  112.6674     2026-01-01 03:00:00    -0.202
    -8.4376  112.6674     2026-01-01 04:00:00    -0.308
    -8.4376  112.6674     2026-01-01 05:00:00    -0.327
    -8.4376  112.6674     2026-01-01 06:00:00    -0.231
    -8.4376  112.6674     2026-01-01 07:00:00    -0.023
    -8.4376  112.6674     2026-01-01 08:00:00     0.262
    -8.4376  112.6674     2026-01-01 09:00:00     0.568
    -8.4376  112.6674     2026-01-01 10:00:00     0.825
    -8.4376  112.6674     2026-01-01 11:00:00     0.970
    -8.4376  112.6674     2026-01-01 12:00:00     0.959
    -8.4376  112.6674     2026-01-01 13:00:00     0.783
    -8.4376  112.6674     2026-01-01 14:00:00     0.466
    -8.4376  112.6674     2026-01-01 15:00:00     0.066
    -8.4376  112.6674     2026-01-01 16:00:00    -0.342
    -8.4376  112.6674     2026-01-01 17:00:00    -0.678
    -8.4376  112.6674     2026-01-01 18:00:00    -0.880
    -8.4376  112.6674     2026-01-01 19:00:00    -0.917
    -8.4376  112.6674     2026-01-01 20:00:00    -0.793
    -8.4376  112.6674     2026-01-01 21:00:00    -0.551
    -8.4376  112.6674     2026-01-01 22:00:00    -0.256
    -8.4376  112.6674     2026-01-01 23:00:00     0.017
    -8.4376  112.6674     2026-01-02 00:00:00     0.201
    -8.4376  112.6674     2026-01-02 01:00:00     0.259
    -8.4376  112.6674     2026-01-02 02:00:00     0.188
    -8.4376  112.6674     2026-01-02 03:00:00     0.021
    -8.4376  112.6674     2026-01-02 04:00:00    -0.179
    -8.4376  112.6674     2026-01-02 05:00:00    -0.341
    -8.4376  112.6674     2026-01-02 06:00:00    -0.399
    -8.4376  112.6674     2026-01-02 07:00:00    -0.315
    -8.4376  112.6674     2026-01-02 08:00:00    -0.088
    -8.4376  112.6674     2026-01-02 09:00:00     0.243
    -8.4376  112.6674     2026-01-02 10:00:00     0.607
    -8.4376  112.6674     2026-01-02 11:00:00     0.920
    -8.4376  112.6674     2026-01-02 12:00:00     1.100
    -8.4376  112.6674     2026-01-02 13:00:00     1.093
    -8.4376  112.6674     2026-01-02 14:00:00     0.885
    -8.4376  112.6674     2026-01-02 15:00:00     0.508
    -8.4376  112.6674     2026-01-02 16:00:00     0.033
    -8.4376  112.6674     2026-01-02 17:00:00    -0.445
    -8.4376  112.6674     2026-01-02 18:00:00    -0.831
    -8.4376  112.6674     2026-01-02 19:00:00    -1.050
    -8.4376  112.6674     2026-01-02 20:00:00    -1.064
    -8.4376  112.6674     2026-01-02 21:00:00    -0.886
    -8.4376  112.6674     2026-01-02 22:00:00    -0.568
    -8.4376  112.6674     2026-01-02 23:00:00    -0.198
    -8.4376  112.6674     2026-01-03 00:00:00     0.133
    -8.4376  112.6674     2026-01-03 01:00:00     0.344
    -8.4376  112.6674     2026-01-03 02:00:00     0.392
    -8.4376  112.6674     2026-01-03 03:00:00     0.279
    -8.4376  112.6674     2026-01-03 04:00:00     0.049
    -8.4376  112.6674     2026-01-03 05:00:00    -0.216
    -8.4376  112.6674     2026-01-03 06:00:00    -0.428
    -8.4376  112.6674     2026-01-03 07:00:00    -0.508
    -8.4376  112.6674     2026-01-03 08:00:00    -0.412
    -8.4376  112.6674     2026-01-03 09:00:00    -0.144
